公众号【天微科技】240101更新

📡央视频道,#genre#
西藏卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225728/10000100000000060000000000000265_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
黑龙江卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225645/10000100000000060000000000000182_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
深圳卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225651/10000100000000060000000000000188_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
厦门卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225719/10000100000000060000000000000256_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CETV1,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225793/10000100000000060000000000000362_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CETV4,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226256/10000100000000060000000000801381_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
山东教育卫视,http://10.255.128.136/PLTV/88888888/224/3221226288/10000100000000060000000000863667_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
兵团卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225731/10000100000000060000000000000268_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
农林卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225732/10000100000000060000000000000269_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
延边卫视,http://10.255.128.136/PLTV/88888888/224/3221226270/10000100000000060000000000863675_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
